SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,sum
0.0,114.375,0.0,0.0,0.0,104.025,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,224.4
0.0,65.625,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,110.325
0.0,16.875,0.0,0.0,0.0,44.175000000000004,0.0,0.0,0.0,110.97500000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,173.025
0.0,144.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,240.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,556.375
0.0,108.75,0.0,0.0,0.0,31.35,0.0,0.0,0.0,91.675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,232.77499999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.925,114.0,0.0,67.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,322.125
0.0,138.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,289.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.05,174.79999999999998,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,375.85
0.0,103.125,0.0,0.0,0.0,85.5,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,208.925
0.0,0.0,0.0,0.0,0.0,91.2,0.0,0.0,0.0,48.25,0.0,0.0,33.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,174.04999999999998
0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.39999999999998,190.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,437.9
0.0,0.0,0.0,0.0,0.0,27.075,0.0,0.0,0.0,0.0,0.0,245.0,86.39999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,359.47499999999997
0.0,0.0,0.0,0.0,0.0,19.95,0.0,0.0,0.0,28.950000000000003,212.79999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,262.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.6875,201.39999999999998,0.0,68.39999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,403.48749999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5875,250.79999999999998,0.0,26.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,468.78749999999997
0.0,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6625,0.0,110.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,232.9125
0.0,76.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.6875,106.39999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,316.9625
0.0,0.0,0.0,0.0,0.0,59.85,0.0,0.0,0.0,0.0,0.0,200.0,37.199999999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,298.05
0.0,95.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.525,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,375.15
0.0,125.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.2,0.0,79.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,335.025
0.0,15.0,0.0,0.0,0.0,29.925,0.0,0.0,0.0,0.0,0.0,0.0,74.39999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.32499999999999
0.0,31.875,0.0,0.0,0.0,75.525,0.0,0.0,0.0,0.0,0.0,0.0,82.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,191.2
0.0,116.25,0.0,0.0,0.0,29.925,0.0,0.0,0.0,171.2875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,318.4625
0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.7
0.0,0.0,0.0,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,55.0,22.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,141.5
0.0,116.25,0.0,0.0,0.0,24.225,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,431.475
0.0,80.625,0.0,0.0,0.0,47.025,0.0,0.0,0.0,0.0,0.0,0.0,69.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,198.25
0.0,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.91250000000001,300.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,456.3625
0.0,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.199999999999996,185.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,244.825
0.0,20.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0625,288.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,322.4875
0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,147.1625,0.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.6625
0.0,45.0,0.0,0.0,0.0,62.7,0.0,0.0,0.0,55.487500000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,164.1875
0.0,0.0,0.0,0.0,0.0,76.95,0.0,0.0,0.0,0.0,98.8,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,236.75
0.0,123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.275,0.0,0.0,68.39999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,323.425
0.0,0.0,0.0,0.0,0.0,48.45,0.0,0.0,0.0,0.0,288.8,0.0,55.199999999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,393.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.2,390.0,62.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,658.6
0.0,101.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,179.05
0.0,0.0,0.0,0.0,0.0,82.65,0.0,0.0,0.0,130.275,0.0,0.0,28.799999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,242.72500000000002
0.0,69.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.4,0.0,0.0,75.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,300.375
0.0,105.0,0.0,0.0,0.0,61.275,0.0,0.0,0.0,106.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,273.425
0.0,106.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.1625,0.0,0.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,345.0375
0.0,95.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6625,0.0,385.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,532.2875
0.0,142.5,0.0,0.0,0.0,55.575,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,209.075
0.0,0.0,0.0,0.0,0.0,12.825000000000001,0.0,0.0,0.0,120.625,0.0,0.0,93.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,228.04999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.375,79.8,0.0,46.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.97500000000002
0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,360.0,10.799999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,411.7
0.0,140.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,209.225
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.225,273.59999999999997,0.0,49.199999999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,483.0249999999999
0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,360.0,55.199999999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,421.9
0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1875,292.59999999999997,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,367.28749999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.05,247.0,220.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,632.05
0.0,136.875,0.0,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,235.575
0.0,146.25,0.0,0.0,0.0,81.22500000000001,0.0,0.0,0.0,0.0,212.79999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,441.275
0.0,0.0,0.0,0.0,0.0,76.95,0.0,0.0,0.0,103.7375,269.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,451.4875
0.0,45.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,129.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.39999999999999,120.0,86.39999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,294.79999999999995
0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.76250000000002,0.0,0.0,7.199999999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,205.2125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.475000000000001,281.2,0.0,26.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,323.075
0.0,0.0,0.0,0.0,0.0,32.775,0.0,0.0,0.0,91.675,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.45
0.0,16.875,0.0,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,28.799999999999997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.375
0.0,95.625,0.0,0.0,0.0,84.075,0.0,0.0,0.0,0.0,159.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,340.29999999999995
0.0,0.0,0.0,0.0,0.0,105.45,0.0,0.0,0.0,0.0,201.39999999999998,95.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,402.84999999999997
0.0,93.75,0.0,0.0,0.0,21.375,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.125
0.0,69.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.05,0.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,294.425
0.0,144.375,0.0,0.0,0.0,44.175000000000004,0.0,0.0,0.0,164.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,353.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.2125,110.19999999999999,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,289.4125
0.0,136.875,0.0,0.0,0.0,72.675,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,580.55
0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,57.900000000000006,300.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,370.5
0.0,0.0,0.0,0.0,0.0,12.825000000000001,0.0,0.0,0.0,0.0,0.0,255.0,4.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,273.625
0.0,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.475000000000001,0.0,225.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,281.725
0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.725,60.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,128.27499999999998
0.0,0.0,0.0,0.0,0.0,44.175000000000004,0.0,0.0,0.0,118.2125,296.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,459.7875
0.0,131.25,0.0,0.0,0.0,4.275,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,155.725
0.0,0.0,0.0,0.0,0.0,9.975,0.0,0.0,0.0,0.0,0.0,110.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,138.975
0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,27.599999999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,305.475
0.0,131.25,0.0,0.0,0.0,29.925,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,192.175
0.0,108.75,0.0,0.0,0.0,59.85,0.0,0.0,0.0,0.0,0.0,0.0,27.599999999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,197.2
0.0,116.25,0.0,0.0,0.0,65.55,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,227.8
0.0,0.0,0.0,0.0,0.0,31.35,0.0,0.0,0.0,26.5375,220.39999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,279.28749999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.125,254.6,195.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,474.725
0.0,0.0,0.0,0.0,0.0,51.300000000000004,0.0,0.0,0.0,0.0,300.2,210.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,562.5
0.0,0.0,0.0,0.0,0.0,94.05,0.0,0.0,0.0,130.275,0.0,325.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,550.325
0.0,0.0,0.0,0.0,0.0,109.72500000000001,0.0,0.0,0.0,0.0,26.599999999999998,135.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,272.32500000000005
